Category,Height (m),Area (m^2),Length (km),Width(m),Complexity,Urban/Rural,Geographic,Season,Time (months)
1,40,65000,0,0,5,1,1,1,36
1,220,2023,0,0,3,1,1,1,30
1,50,60000,0,0,1,0,1,1,24
1,18,1789,0,0,3,1,1,1,6
1,21,1858,0,0,3,1,1,1,12
1,22,1800,0,0,3,0,3,2,18
1,100,1000,0,0,5,1,1,1,33
1,33,483,0,0,1,1,1,1,33
1,91,3294,0,0,3,1,1,1,35
2,0,0,701,120,2,1,,,60
2,0,0,93,20,2,0,,,36
2,0,0,135,24,2,1,,,20
2,0,0,8.7,56,2,0,,,36
2,0,0,19.2,56,2,1,,,40
2,0,0,22.2,32,2,0,,,24
2,0,0,46,24,2,1,,,25
2,0,0,670,16,2,1,,,24